name,price,manufacturer,description,image
Allerde 5mg Tablet 10'S,68,East West Pharmaceuticals Pvt Ltd,"ALLERDE 5MG contains Desloratadine which belongs to a class of medications called antihistamines, which helps to control allergic reaction and its symptoms This medicine is indicated to relieve symptoms associated with allergic rhinitis (inflammation of the nasal passages caused by an allergy like hay fever or allergy to dust mites). It is also used to relieve the symptoms associated with urticaria (a skin condition caused by an allergy) which includes itching and hives. ALLERDE 5MG works by blocking the action of histamine, a substance in the body which causes allergic symptoms.",https://www.netmeds.com/images/product-v1/150x150/382199/allerde_5mg_tablet_10_s_0.jpg
Allerdest 5mg Tablet 10'S,23.23,Abbott Healthcare Pvt Ltd,"ALLERDEST contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERDEST exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/410422/allerdest_5mg_tablet_10s_0_1.jpg
Allergin 10mg Tablet 10'S,95,Jenburkt Pharmaceuticals Ltd,"ALLERGIN 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERGIN 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLERGO 120mg Tablet 10's,102,Agio Pharmaceuticals Ltd,"ALLERGO 120MG contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Allerhin L Syrup 60ml,39.6,Embiotic Laboratories Pvt Ltd,"ALLERHIN L contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALLERHIN L works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Allerknot L Tablet 10's,35,Shaw Pharmasis,"ALLERKNOT L contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERKNOT L exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ALLERMET 120 Tablet 10's,109,METAMORF LIFESCIENCES,"ALLERMET 120 contains Fexofenadine which belongs to the class of medications called second generation antihistamines, especially the class known as histamine receptor antagonists It works by blocking the action of one of the body's natural chemicals known as histamine. It is used for the relief of symptoms related with seasonal and year-round allergies including sneezing, itchy palate, runny nose, and itchy, tearing, and redness of the eyes. It is also used in adults and adolescents of 12 years and older to relieve the symptoms that occur with long term allergic skin reactions (chronic idiopathic urticaria) such as itching, swelling and rashes.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Allerone 5mg Tablet 10'S,70,Gladstone Pharma India Pvt Ltd,"ALLERONE contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERONE exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/359555/allerone_5mg_tablet_10_s_0.jpg
Allerzine 10mg Tablet 10'S,44.5,Jenburkt Pharmaceuticals Ltd,"ALLERZINE 10MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERZINE 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Allerzine 5mg Tablet 10'S,44.5,Jenburkt Pharmaceuticals Ltd,"ALLERZINE 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLERZINE 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/854039/allerzine_5mg_tablet_10s_0_0.jpg
Allrite 5mg Tablet 10'S,82.25,German Remedies Ltd,"ALLRITE contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLRITE exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/304166/allrite_5mg_tablet_10_s_0.jpg
Allset Tablet 10'S,200,Medex India Pvt Ltd,"ALLSET contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALLSET exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alocet Syrup 60ml,39,Viilbery Healthcare Pvt Ltd,"ALOCET contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALOCET works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Alocet 5mg Tablet 10'S,31,Viilbery Healthcare Pvt Ltd,"ALOCET contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ALOCET exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/328293/alocet_5mg_tablet_10_s_0.jpg
ALORTI Tablet 10's,59,Mohrish Pharmaceuticals,"ALORTI contain loratadine which belongs to a group of medicine called antihistamines It is used to relieve allergy symptoms such as runny and blocked nose, sneezing, watery eyes (e.g. in hay fever) and skin condition with pale or red irregular raised patches and severe itching (urticaria).",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Alzine Syrup 60ml,72,Cadila Pharmaceuticals Ltd,"ALZINE contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ALZINE works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Anticet 5mg Tablet 10'S,50,Senses Pharmaceuticals Ltd,"ANTICET 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ANTICET 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ANTIZED Syrup 30ml,18.72,KENTRECK LABORATORIES PVT LTD,"ANTIZED contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). ANTIZED works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
ANTIZED 10 Tablet 10's,19.47,KENTRECK LABORATORIES PVT LTD,"ANTIZED 10 contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ANTIZED 10 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
APLEV 5mg Tablet 10's,47,Ajanta Pharma Ltd,"APLEV 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take APLEV 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
ARGELLA Tablet 10's,45,Rowan Bioceuticals Private Limited,"ARGELLA contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take ARGELLA exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/889946/argella_tablet_10s_0_0.jpg
AVERZINE 10mg Tablet 15's,39,Canixa Life Sciences Pvt Ltd,"AVERZINE 10MG contains Hydroxyzine which belongs to a group of medicines called antihistamines It helps in relieving of anxiety and tension, managing pruritus due to chronic urticaria and atopic and contact dermatoses and in histamine-mediated pruritus. Hydroxyzine has sedative and anxiolytic effects due to its high affinity for histaminic receptors in the brain. Due to antihistaminic and sedative property, it is also useful in pruritus and urticaria.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
AVERZINE 25mg Tablet 15's,65,Canixa Life Sciences Pvt Ltd,"AVERZINE 25MG contains Hydroxyzine which belongs to a group of medicines called antihistamines It helps in relieving of anxiety and tension, managing pruritus due to chronic urticaria and atopic and contact dermatoses and in histamine-mediated pruritus. Hydroxyzine has sedative and anxiolytic effects due to its high affinity for histaminic receptors in the brain. Due to antihistaminic and sedative property, it is also useful in pruritus and urticaria.",https://www.netmeds.com/images/product-v1/150x150/885297/averzine_25mg_tablet_15s_0_0.jpg
Avil NU 10mg Tablet 10'S,27.66,Sanofi India Limited,"AVIL NU contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take AVIL NU exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/369896/avil_nu_tablet_10s_0_1.jpg
Betni 4mg Injection 1ml,4.72,Intas Pharmaceuticals Ltd (Generics),"BETNI 4MG contains Betamethasone which belongs to a group of medicines called corticosteroids It is used to treat asthma, severe allergic reactions including reactions to medicines, local inflammation of joints, tendons or the eye, severe shock due to surgery, injury or overwhelming infection. This medicine is also used as replacement for the body’s naturally occurring corticosteroid hormones when these are reduced or absent. Your doctor will administer the dose according to your health condition.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/injections.jpg
CENT 10 Tablet 10's,16.5,Aronex Life Sciences Pvt Ltd,"CENT 10 contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CENT 10 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Ceriz Syrup 60ml,39.65,Alkem Laboratories Ltd (Generics),"CERIZ contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). CERIZ works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
CETALORE 10mg Tablet 10's,95,Klm Laboratories Pvt Ltd,"CETALORE 10MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETALORE 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/903717/cetalore_10mg_tablet_10s_0_2.jpg
CETALORE 5mg Tablet 10's,58,Klm Laboratories Pvt Ltd,"CETALORE 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETALORE 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/907635/cetalore_5mg_tablet_10s_0_0.jpg
Cetcip 10mg Tablet 10'S,18.5,Cipla Ltd (Generics),"CETCIP 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETCIP 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/303682/cetcip_10mg_tablet_10_s_0.jpg
Cetcip Syrup 30ml,19.82,Cipla Ltd (Generics),"CETCIP contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). CETCIP works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/303683/cetcip_syrup_30ml_0.jpg
Cetcip L 5mg Tablet 10'S,61,Cipla Ltd (Generics),"CETCIP contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETCIP exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/303684/cetcip_l_5mg_tablet_10_s_0.jpg
Cetfast 10mg Tablet 10'S,18,Elder Pharmaceuticals Ltd (Generics),"CETFAST 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETFAST 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/857665/cetfast_10mg_tablet_10s_0_0.jpg
CETFULL L 5mg Tablet 10's,45.35,Genx Pharma Ltd,"CETFULL L 5MG contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETFULL L 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Cetgel Capsule 10'S,26.54,Universal Nutriscience Private Limited,"CETGEL contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETGEL exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/365356/cetgel_capsule_10s_0_1.jpg
CETIDAY Tablet 10's,16.8,BOOTS LIFESCIENCES LIMITED,"CETIDAY contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETIDAY exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
CETIFAR Tablet 10's,16.06,Scott-Edil Pharmacia Ltd,"CETIFAR contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETIFAR exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Cetiriz 10mg Tablet 10'S,18.49,Alkem Laboratories Ltd,"CETIRIZ 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETIRIZ 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/42880/cetiriz_10mg_tablet_10_s_0.jpg
Cetiriz Syrup 60ml,39.65,Alkem Laboratories Ltd,"CETIRIZ contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). CETIRIZ works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/324399/cetiriz_syrup_60ml_0.jpg
Cetiriz G Syrup 30ml,17.1,Alkem Laboratories Ltd,"CETIRIZ G contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). CETIRIZ G works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Cetiz 5mg Syrup 30ml,18.75,Medley Pharmaceuticals Pvt Ltd,"CETIZ 5MG contain Cetirizine which belongs to a group of medicine called antihistamines It is used to relieve the symptoms of hay fever (seasonal rhinitis) such as sneezing, itchy, red and watering eyes, irritated, runny or blocked nose in adults and children over the age of 2 years and also used to relieve the symptoms of other allergies such as runny and itchy nose (non-seasonal rhinitis), skin allergies such as rash, itching and urticaria (hives), pet or house mite allergies in adult and older children (over the age of 6 years). CETIZ 5MG works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. This medicine is strictly not recommended for use in children under 2 years.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/syrups.jpg
Cetlergy 10mg Tablet 10'S,18.1,Zuventus Healthcare Ltd,"CETLERGY 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETLERGY 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/formulation_based/tablets.jpg
Cetrezol 10mg Tablet 10'S,17.45,East West Pharmaceuticals Pvt Ltd,"CETREZOL 10MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETREZOL 10MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/339129/cetrezol_10mg_tablet_10_s_0.jpg
Cetrezol 5mg Tablet 10'S,13.8,East West Pharmaceuticals Pvt Ltd,"CETREZOL 5MG contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETREZOL 5MG exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/338312/cetrezol_5mg_tablet_10s_0_1.jpg
Cetrezol L Tablet 10'S,50,East West Pharmaceuticals Pvt Ltd,"CETREZOL contain Levocetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETREZOL exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/339289/cetrezol_l_tablet_10s_0_1.jpg
CETRIACE 10 Tablet 10's,18.14,Wallace Pharmaceuticals Ltd,"CETRIACE 10 contains Cetirizine which belongs to a group of medicine called antihistamines It is used for the relief of symptoms of hay fever and other allergic conditions such as sneezing, runny or itchy nose or for skin rashes such as chronic nettle rash, idiopathic urticaria in adult and children over 6 years of age. It works by blocking the effects of histamine, which may be overproduced in allergic reactions which causes unpleasant symptoms such as itchy or watery eyes, running or blocked nose, sneezing and skin rashes. Always take CETRIACE 10 exactly as your doctor has told you.",https://www.netmeds.com/images/product-v1/150x150/932494/cetriace_10_tablet_10s_0_1.jpg
